modelo,MAE,RMSE,MAPE
TFT,22.9945,28.9351,85.468
GRU,23.5705,28.9902,56.7236
LSTM,23.5977,29.0112,56.904
MLP,23.6368,29.4648,54.5874
ARIMA,9234.056,10961.1535,28.4346
