modelo,MAE,RMSE,MAPE
LSTM,6.1695,7.9914,12.3436
GRU,6.1712,8.0015,12.2498
MLP,7.7209,10.0602,16.4786
TFT,25.4694,31.7197,79.0892
ARIMA,9234.0559,10961.1534,28.4346
